time,temperature,humidity,windspeed,city
2025-10-07T03:00,29.6,76,7.9,HCM
2025-10-07T04:00,30.6,73,6.9,HCM
2025-10-07T05:00,31.5,69,7.7,HCM
2025-10-07T06:00,31.5,68,9.2,HCM
2025-10-07T07:00,31.6,68,8.5,HCM
2025-10-07T08:00,31.4,70,7.4,HCM
2025-10-07T09:00,30.9,72,5.9,HCM
2025-10-07T10:00,30.2,76,3.6,HCM
2025-10-07T11:00,29.3,80,1.9,HCM
2025-10-07T12:00,28.5,84,3.1,HCM
2025-10-07T13:00,27.8,87,3.9,HCM
2025-10-07T14:00,27.2,89,4.2,HCM
2025-10-07T15:00,26.7,91,4.4,HCM
2025-10-07T16:00,26.4,92,4.7,HCM
2025-10-07T17:00,26.2,92,5.7,HCM
2025-10-07T18:00,26.1,93,5.8,HCM
2025-10-07T19:00,25.9,94,4.6,HCM
2025-10-07T20:00,25.7,95,2.6,HCM
2025-10-07T21:00,25.6,96,1.5,HCM
2025-10-07T22:00,25.6,96,1.5,HCM
2025-10-07T23:00,25.8,95,1.6,HCM
2025-10-08T00:00,26.3,93,1.9,HCM
2025-10-08T01:00,27.3,88,2.6,HCM
2025-10-08T02:00,28.8,81,3.0,HCM
2025-10-08T03:00,29.9,75,3.4,HCM
2025-10-08T04:00,30.7,72,4.1,HCM
2025-10-08T05:00,31.3,70,5.4,HCM
2025-10-08T06:00,31.4,69,6.4,HCM
2025-10-08T07:00,31.0,70,7.4,HCM
2025-10-08T08:00,30.3,73,8.3,HCM
2025-10-08T09:00,29.4,76,8.3,HCM
2025-10-08T10:00,28.6,80,7.3,HCM
2025-10-08T11:00,27.7,84,5.4,HCM
2025-10-08T12:00,27.0,87,3.4,HCM
2025-10-08T13:00,26.7,89,1.1,HCM
2025-10-08T14:00,26.6,89,1.8,HCM
2025-10-08T15:00,26.5,90,3.9,HCM
2025-10-08T16:00,26.2,90,4.8,HCM
2025-10-08T17:00,25.8,91,4.9,HCM
2025-10-08T18:00,25.4,91,5.1,HCM
2025-10-08T19:00,25.1,91,5.1,HCM
2025-10-08T20:00,24.9,92,5.2,HCM
2025-10-08T21:00,24.7,92,5.2,HCM
2025-10-08T22:00,24.7,92,4.7,HCM
2025-10-08T23:00,24.7,92,4.0,HCM
2025-10-09T00:00,25.2,90,4.1,HCM
2025-10-09T01:00,26.4,85,5.8,HCM
2025-10-09T02:00,27.9,79,7.9,HCM
2025-10-09T03:00,29.3,73,9.4,HCM
2025-10-09T04:00,30.4,69,9.5,HCM
2025-10-09T05:00,31.4,66,9.4,HCM
2025-10-09T06:00,31.9,65,9.1,HCM
2025-10-09T07:00,31.7,66,7.7,HCM
2025-10-09T08:00,31.1,69,5.7,HCM
2025-10-09T09:00,30.3,73,3.8,HCM
2025-10-09T10:00,29.4,77,1.8,HCM
2025-10-09T11:00,28.3,82,3.5,HCM
2025-10-09T12:00,27.4,86,5.7,HCM
2025-10-09T13:00,26.8,88,6.1,HCM
2025-10-09T14:00,26.4,90,5.1,HCM
2025-10-09T15:00,26.1,91,4.1,HCM
2025-10-09T16:00,25.8,92,3.4,HCM
2025-10-09T17:00,25.7,93,2.7,HCM
2025-10-09T18:00,25.5,94,2.2,HCM
2025-10-09T19:00,25.4,94,1.8,HCM
2025-10-09T20:00,25.3,94,1.8,HCM
2025-10-09T21:00,25.3,94,1.5,HCM
2025-10-09T22:00,25.3,94,1.1,HCM
2025-10-09T23:00,25.4,94,1.5,HCM
2025-10-10T00:00,25.8,92,1.5,HCM
2025-10-10T01:00,26.9,87,1.1,HCM
2025-10-10T02:00,28.4,80,3.6,HCM
2025-10-10T03:00,29.7,74,5.7,HCM
2025-10-10T04:00,30.7,70,6.3,HCM
2025-10-10T05:00,31.5,67,6.3,HCM
2025-10-10T06:00,31.9,66,6.5,HCM
2025-10-10T07:00,31.7,67,7.3,HCM
2025-10-10T08:00,31.0,69,8.1,HCM
2025-10-10T09:00,30.2,72,8.2,HCM
2025-10-10T10:00,29.4,76,6.8,HCM
2025-10-10T11:00,28.4,81,5.0,HCM
2025-10-10T12:00,27.6,85,3.6,HCM
2025-10-10T13:00,27.0,88,3.8,HCM
2025-10-10T14:00,26.7,90,5.1,HCM
2025-10-10T15:00,26.4,92,5.4,HCM
2025-10-10T16:00,26.2,94,4.4,HCM
2025-10-10T17:00,26.0,95,2.7,HCM
2025-10-10T18:00,26.0,95,1.8,HCM
2025-10-10T19:00,25.9,94,1.5,HCM
2025-10-10T20:00,25.9,92,1.1,HCM
2025-10-10T21:00,26.0,90,0.7,HCM
2025-10-10T22:00,26.1,90,0.5,HCM
2025-10-10T23:00,26.3,90,0.7,HCM
2025-10-04T00:00,26.8,89,3.6,Danang
2025-10-04T01:00,28.1,81,2.3,Danang
2025-10-04T02:00,29.4,72,3.1,Danang
2025-10-04T03:00,30.5,66,5.1,Danang
2025-10-04T04:00,31.5,61,7.3,Danang
2025-10-04T05:00,32.0,59,9.9,Danang
2025-10-04T06:00,31.6,62,13.0,Danang
2025-10-04T07:00,31.5,62,14.2,Danang
2025-10-04T08:00,30.4,68,13.5,Danang
2025-10-04T09:00,30.3,68,11.3,Danang
2025-10-04T10:00,29.6,71,9.2,Danang
2025-10-04T11:00,28.7,76,4.5,Danang
2025-10-04T12:00,28.0,81,3.6,Danang
2025-10-04T13:00,27.3,85,4.8,Danang
2025-10-04T14:00,27.1,83,5.7,Danang
2025-10-04T15:00,26.8,83,7.1,Danang
2025-10-04T16:00,26.6,83,8.1,Danang
2025-10-04T17:00,26.2,84,6.9,Danang
2025-10-04T18:00,25.9,83,5.1,Danang
2025-10-04T19:00,25.5,85,4.1,Danang
2025-10-04T20:00,25.1,87,5.2,Danang
2025-10-04T21:00,25.0,88,5.0,Danang
2025-10-04T22:00,25.0,88,3.7,Danang
2025-10-04T23:00,25.0,89,2.8,Danang
2025-10-05T00:00,26.0,89,1.1,Danang
2025-10-05T01:00,28.0,77,0.8,Danang
2025-10-05T02:00,29.6,72,1.3,Danang
2025-10-05T03:00,31.2,63,5.2,Danang
2025-10-05T04:00,32.6,56,7.1,Danang
2025-10-05T05:00,33.5,53,6.3,Danang
2025-10-05T06:00,34.2,51,3.4,Danang
2025-10-05T07:00,33.6,54,7.8,Danang
2025-10-05T08:00,30.0,72,17.0,Danang
2025-10-05T09:00,29.7,69,9.6,Danang
2025-10-05T10:00,29.4,71,6.9,Danang
2025-10-05T11:00,28.7,77,5.5,Danang
2025-10-05T12:00,28.2,81,2.7,Danang
2025-10-05T13:00,28.0,83,0.7,Danang
2025-10-05T14:00,27.7,84,3.4,Danang
2025-10-05T15:00,27.1,88,4.1,Danang
2025-10-05T16:00,26.8,89,3.1,Danang
2025-10-05T17:00,26.4,91,3.6,Danang
2025-10-05T18:00,26.2,89,4.5,Danang
2025-10-05T19:00,26.3,83,5.4,Danang
2025-10-05T20:00,26.3,78,4.8,Danang
2025-10-05T21:00,25.9,79,4.7,Danang
2025-10-05T22:00,25.5,81,4.5,Danang
2025-10-05T23:00,25.3,84,4.7,Danang
2025-10-06T00:00,26.8,82,4.8,Danang
2025-10-06T01:00,29.6,70,5.2,Danang
2025-10-06T02:00,31.4,61,6.8,Danang
2025-10-06T03:00,32.8,56,9.2,Danang
2025-10-06T04:00,33.8,52,11.0,Danang
2025-10-06T05:00,34.2,50,9.2,Danang
2025-10-06T06:00,34.8,48,3.6,Danang
2025-10-06T07:00,34.8,47,3.3,Danang
2025-10-06T08:00,33.2,57,13.4,Danang
2025-10-06T09:00,32.3,64,9.0,Danang
2025-10-06T10:00,31.5,65,8.3,Danang
2025-10-06T11:00,30.2,69,6.1,Danang
2025-10-06T12:00,29.3,75,3.0,Danang
2025-10-06T13:00,28.9,77,2.2,Danang
2025-10-06T14:00,28.4,80,2.9,Danang
2025-10-06T15:00,27.7,85,2.6,Danang
2025-10-06T16:00,27.4,87,1.9,Danang
2025-10-06T17:00,27.1,90,2.6,Danang
2025-10-06T18:00,26.6,94,2.7,Danang
2025-10-06T19:00,26.2,97,3.1,Danang
2025-10-06T20:00,26.0,97,2.9,Danang
2025-10-06T21:00,25.9,97,3.2,Danang
2025-10-06T22:00,25.9,96,2.9,Danang
2025-10-06T23:00,25.8,96,3.4,Danang
2025-10-07T00:00,27.5,87,4.0,Danang
2025-10-07T01:00,29.0,80,2.3,Danang
2025-10-07T02:00,30.2,72,1.3,Danang
2025-10-07T03:00,31.1,66,3.8,Danang
2025-10-07T04:00,31.8,63,6.8,Danang
2025-10-07T05:00,32.4,61,8.9,Danang
2025-10-07T06:00,32.2,62,13.3,Danang
2025-10-07T07:00,31.7,64,13.8,Danang
2025-10-07T08:00,30.9,67,13.3,Danang
2025-10-07T09:00,30.0,71,12.1,Danang
2025-10-07T10:00,29.3,75,10.2,Danang
2025-10-07T11:00,28.6,79,8.0,Danang
2025-10-07T12:00,28.0,82,5.7,Danang
2025-10-07T13:00,27.4,85,3.1,Danang
2025-10-07T14:00,26.9,87,0.8,Danang
2025-10-07T15:00,26.5,89,1.5,Danang
2025-10-07T16:00,26.3,90,1.8,Danang
2025-10-07T17:00,26.2,90,1.1,Danang
2025-10-07T18:00,26.1,91,0.7,Danang
2025-10-07T19:00,25.8,92,1.1,Danang
2025-10-07T20:00,25.6,94,1.6,Danang
2025-10-07T21:00,25.5,95,2.1,Danang
2025-10-07T22:00,25.5,95,2.6,Danang
2025-10-07T23:00,25.7,94,3.3,Danang
2025-10-08T00:00,26.2,91,3.0,Danang
2025-10-08T01:00,27.1,86,1.8,Danang
2025-10-08T02:00,28.2,80,4.8,Danang
2025-10-08T03:00,29.2,75,7.9,Danang
2025-10-08T04:00,30.0,71,9.7,Danang
2025-10-08T05:00,30.6,68,11.0,Danang
2025-10-08T06:00,30.9,66,12.2,Danang
2025-10-08T07:00,30.8,65,13.7,Danang
2025-10-08T08:00,30.4,65,15.0,Danang
2025-10-08T09:00,29.8,67,14.8,Danang
2025-10-08T10:00,29.0,71,11.7,Danang
2025-10-08T11:00,28.0,77,7.1,Danang
2025-10-08T12:00,27.2,82,3.1,Danang
2025-10-08T13:00,26.7,85,0.7,Danang
2025-10-08T14:00,26.4,88,2.2,Danang
2025-10-08T15:00,26.2,90,3.8,Danang
2025-10-08T16:00,25.9,92,4.6,Danang
2025-10-08T17:00,25.6,93,4.5,Danang
2025-10-08T18:00,25.3,94,4.5,Danang
2025-10-08T19:00,25.0,95,4.1,Danang
2025-10-08T20:00,24.8,95,4.1,Danang
2025-10-08T21:00,24.7,94,3.8,Danang
2025-10-08T22:00,24.8,93,4.3,Danang
2025-10-08T23:00,25.0,90,4.8,Danang
2025-10-09T00:00,25.6,87,4.7,Danang
2025-10-09T01:00,26.7,81,3.0,Danang
2025-10-09T02:00,28.1,74,4.8,Danang
2025-10-09T03:00,29.2,69,7.6,Danang
2025-10-09T04:00,30.0,66,9.0,Danang
2025-10-09T05:00,30.5,66,10.2,Danang
2025-10-09T06:00,30.8,65,10.6,Danang
2025-10-09T07:00,30.9,64,10.6,Danang
2025-10-09T08:00,30.7,64,10.5,Danang
2025-10-09T09:00,30.3,65,9.7,Danang
2025-10-09T10:00,29.5,69,8.4,Danang
2025-10-09T11:00,28.6,76,6.4,Danang
2025-10-09T12:00,27.7,81,4.4,Danang
2025-10-09T13:00,27.1,85,1.8,Danang
2025-10-09T14:00,26.6,89,3.0,Danang
2025-10-09T15:00,26.2,91,5.2,Danang
2025-10-09T16:00,26.0,90,5.6,Danang
2025-10-09T17:00,25.9,88,5.2,Danang
2025-10-09T18:00,25.8,87,4.7,Danang
2025-10-09T19:00,25.4,88,4.7,Danang
2025-10-09T20:00,24.9,91,4.5,Danang
2025-10-09T21:00,24.7,92,4.5,Danang
2025-10-09T22:00,24.8,92,4.5,Danang
2025-10-09T23:00,25.1,92,4.8,Danang
2025-10-10T00:00,25.7,89,4.2,Danang
2025-10-10T01:00,27.1,82,3.2,Danang
2025-10-10T02:00,28.7,73,3.1,Danang
2025-10-10T03:00,29.9,67,4.4,Danang
2025-10-10T04:00,30.1,67,6.8,Danang
2025-10-10T05:00,29.9,70,10.2,Danang
2025-10-10T06:00,29.5,73,12.9,Danang
2025-10-10T07:00,29.3,74,13.6,Danang
2025-10-10T08:00,29.1,74,12.9,Danang
2025-10-10T09:00,28.7,75,11.4,Danang
2025-10-10T10:00,28.1,78,8.1,Danang
2025-10-10T11:00,27.3,82,3.8,Danang
2025-10-10T12:00,26.7,85,1.9,Danang
2025-10-10T13:00,26.3,88,2.2,Danang
