time,temperature,humidity,wind,city
2025-09-24T18:00,25.9,90,9.0,TP.HCM
2025-09-24T19:00,25.7,91,8.6,TP.HCM
2025-09-24T20:00,25.5,91,8.1,TP.HCM
2025-09-24T21:00,25.4,92,7.7,TP.HCM
2025-09-24T22:00,25.3,93,7.5,TP.HCM
2025-09-24T23:00,25.3,93,6.6,TP.HCM
2025-09-25T00:00,26.2,90,7.6,TP.HCM
2025-09-25T01:00,27.8,84,11.5,TP.HCM
2025-09-25T02:00,29.2,77,14.3,TP.HCM
2025-09-25T03:00,30.3,70,16.3,TP.HCM
2025-09-25T04:00,31.5,65,17.4,TP.HCM
2025-09-25T05:00,32.4,62,18.2,TP.HCM
2025-09-25T06:00,32.2,63,16.0,TP.HCM
2025-09-25T07:00,31.5,66,13.8,TP.HCM
2025-09-25T08:00,30.3,72,10.8,TP.HCM
2025-09-25T09:00,29.3,77,9.2,TP.HCM
2025-09-25T10:00,28.7,81,7.7,TP.HCM
2025-09-25T11:00,28.3,84,6.2,TP.HCM
2025-09-25T12:00,27.9,86,5.1,TP.HCM
2025-09-25T13:00,27.5,86,5.1,TP.HCM
2025-09-25T14:00,27.0,86,5.6,TP.HCM
2025-09-25T15:00,26.7,86,6.4,TP.HCM
2025-09-25T16:00,26.3,87,6.6,TP.HCM
2025-09-25T17:00,26.0,89,6.6,TP.HCM
2025-09-25T18:00,25.7,91,6.6,TP.HCM
2025-09-25T19:00,25.5,92,6.2,TP.HCM
2025-09-25T20:00,25.4,93,5.4,TP.HCM
2025-09-25T21:00,25.3,93,5.1,TP.HCM
2025-09-25T22:00,25.3,94,4.7,TP.HCM
2025-09-25T23:00,25.4,94,4.7,TP.HCM
2025-09-26T00:00,25.8,92,5.5,TP.HCM
2025-09-26T01:00,26.7,87,7.9,TP.HCM
2025-09-26T02:00,28.0,79,11.5,TP.HCM
2025-09-26T03:00,29.2,73,13.7,TP.HCM
2025-09-26T04:00,30.2,70,14.3,TP.HCM
2025-09-26T05:00,31.0,67,14.0,TP.HCM
2025-09-26T06:00,31.6,66,13.3,TP.HCM
2025-09-26T07:00,31.7,65,12.2,TP.HCM
2025-09-26T08:00,31.5,64,10.6,TP.HCM
2025-09-26T09:00,31.1,66,8.9,TP.HCM
2025-09-26T10:00,30.1,72,5.6,TP.HCM
2025-09-26T11:00,28.9,80,3.2,TP.HCM
2025-09-26T12:00,27.9,87,4.3,TP.HCM
2025-09-26T13:00,27.2,90,5.4,TP.HCM
2025-09-26T14:00,26.8,91,6.2,TP.HCM
2025-09-26T15:00,26.4,91,6.9,TP.HCM
2025-09-26T16:00,26.0,91,7.2,TP.HCM
2025-09-26T17:00,25.7,92,7.3,TP.HCM
2025-09-26T18:00,25.5,92,7.9,TP.HCM
2025-09-26T19:00,25.3,93,8.3,TP.HCM
2025-09-26T20:00,25.2,94,8.2,TP.HCM
2025-09-26T21:00,25.2,95,8.4,TP.HCM
2025-09-26T22:00,25.2,94,8.2,TP.HCM
2025-09-26T23:00,25.3,93,7.9,TP.HCM
2025-09-27T00:00,25.4,92,8.2,TP.HCM
2025-09-27T01:00,25.6,91,10.1,TP.HCM
2025-09-27T02:00,25.8,90,12.7,TP.HCM
2025-09-27T03:00,26.1,88,14.8,TP.HCM
2025-09-27T04:00,26.8,86,15.4,TP.HCM
2025-09-27T05:00,27.6,83,15.3,TP.HCM
2025-09-27T06:00,28.2,82,15.3,TP.HCM
2025-09-27T07:00,28.2,82,15.1,TP.HCM
2025-09-27T08:00,27.9,83,14.8,TP.HCM
